Date,Label,Unique Pageviews,Unique visitors,Pageviews,Total time spent by visitors (in seconds),nb_hits_with_time_generation,min_time_generation,max_time_generation,Unique entrances,Entrances,Actions after entering here,Total time spent by visitors (in seconds) after entering here,Bounces,Unique exits,Exits,Avg. time on page,Bounce Rate,Exit rate,Avg. generation time,Metadata: url,Metadata: segment
2017-02-03,/4913,24,23,55,3541,50,0.028,5.464,16,17,44,1649,0,18,19,00:01:04,0%,79%,0.8s,https://developpementdurable.revues.org/4913,pageUrl==https%3A%2F%2Fdeveloppementdurable.revues.org%2F4913
2017-02-08,/4913,39,39,49,2074,45,0.003,8.079,23,23,54,1367,16,23,23,00:00:42,70%,59%,0.75s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-09,/4913,32,30,47,2871,37,0.001,1.591,20,22,107,5781,8,12,12,00:01:01,36%,38%,0.36s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-12,/4913,33,33,39,1520,38,0.002,1.684,22,22,27,1207,19,22,22,00:00:39,86%,67%,0.32s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-13,/4913,36,35,50,2702,48,0.001,2.729,22,23,37,4295,17,18,19,00:00:54,74%,53%,0.3s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-14,/4913,26,25,34,4818,27,0.002,2.965,14,15,28,3325,12,14,15,00:02:22,80%,58%,0.71s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-15,/4913,23,23,42,2597,35,0.004,2.996,13,13,37,2333,7,12,12,00:01:02,54%,52%,0.41s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-16,/4913,63,61,80,2714,72,0.001,3.801,49,49,81,2718,33,43,44,00:00:34,67%,70%,0.52s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-17,/4913,122,114,218,13979,165,0.001,6.011,100,108,381,28718,37,54,57,00:01:04,34%,47%,0.25s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-18,/4913,26,26,48,1342,46,0.001,7.939,18,18,53,3969,8,15,15,00:00:28,44%,58%,0.75s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-19,/4913,41,37,69,4891,64,0.001,7.072,32,35,100,11324,17,23,25,00:01:11,49%,61%,0.75s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-20,/4913,77,74,110,5307,101,0.001,24.008,65,68,195,11271,33,43,43,00:00:48,49%,56%,0.55s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-21,/4913,49,46,92,2512,78,0.002,30.011,38,41,138,5259,17,26,27,00:00:27,41%,55%,0.8s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-22,/4913,33,32,42,1806,40,0.005,3.219,21,21,28,1580,14,21,21,00:00:43,67%,64%,0.47s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-23,/4913,34,34,45,1878,45,0.001,3.996,23,23,30,1352,18,23,23,00:00:42,78%,68%,0.59s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-24,/4913,24,24,44,923,31,0.004,7.551,17,17,65,2578,11,16,16,00:00:21,65%,67%,0.86s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-26,/4913,27,27,37,3568,36,0.002,3.562,19,19,45,5146,10,16,16,00:01:36,53%,59%,0.49s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-27,/4913,56,49,92,4982,68,0.001,3.905,42,48,150,7407,21,26,29,00:00:54,44%,52%,0.3s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-02-28,/4913,77,75,111,8412,101,0.001,8.197,59,61,128,10057,37,49,49,00:01:16,61%,64%,0.8s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-03-01,/4913,50,46,75,5605,71,0.003,10.61,31,34,60,6583,20,29,31,00:01:15,59%,62%,0.65s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
2017-03-02,/4913,205,195,311,23130,285,0.001,8.624,182,191,510,40511,90,120,123,00:01:14,47%,60%,0.27s,https://pistes.revues.org/4913,pageUrl==https%3A%2F%2Fpistes.revues.org%2F4913
